Kind,Name,CountLineCode,SumCyclomatic
File,"AbstractBagDecorator.java",25,6
File,"AbstractBidiMapDecorator.java",25,6
File,"AbstractBufferDecorator.java",17,4
File,"AbstractCollectionDecorator.java",66,20
File,"AbstractDualBidiMap.java",382,89
File,"AbstractHashedMap.java",671,163
File,"AbstractIteratorDecorator.java",24,6
File,"AbstractKeyValue.java",24,4
File,"AbstractLinkedList.java",563,136
File,"AbstractLinkedMap.java",282,75
File,"AbstractListDecorator.java",43,12
File,"AbstractListIteratorDecorator.java",42,12
File,"AbstractMapBag.java",324,75
File,"AbstractMapDecorator.java",64,19
File,"AbstractMapEntry.java",28,10
File,"AbstractMapEntryDecorator.java",36,10
File,"AbstractMapIteratorDecorator.java",33,9
File,"AbstractOrderedBidiMapDecorator.java",30,8
File,"AbstractOrderedMapDecorator.java",31,8
File,"AbstractOrderedMapIteratorDecorator.java",39,11
File,"AbstractSetDecorator.java",11,2
File,"AbstractSortedBagDecorator.java",21,5
File,"AbstractSortedBidiMapDecorator.java",28,7
File,"AbstractSortedMapDecorator.java",30,8
File,"AbstractSortedSetDecorator.java",30,8
File,"AbstractTestBag.java",376,41
File,"AbstractTestBidiMap.java",429,71
File,"AbstractTestCollection.java",733,120
File,"AbstractTestComparator.java",104,17
File,"AbstractTestIterableMap.java",108,24
File,"AbstractTestIterator.java",81,19
File,"AbstractTestList.java",750,150
File,"AbstractTestListIterator.java",149,32
File,"AbstractTestMap.java",901,163
File,"AbstractTestMapEntry.java",64,9
File,"AbstractTestMapIterator.java",205,36
File,"AbstractTestObject.java",149,29
File,"AbstractTestOrderedBidiMap.java",143,29
File,"AbstractTestOrderedMap.java",153,31
File,"AbstractTestOrderedMapIterator.java",94,16
File,"AbstractTestSet.java",75,12
File,"AbstractTestSortedBag.java",6,1
File,"AbstractTestSortedBidiMap.java",501,31
File,"AbstractTestSortedMap.java",211,49
File,"AbstractTestSortedSet.java",165,33
File,"AllPredicate.java",29,6
File,"AndPredicate.java",22,4
File,"AnyPredicate.java",29,6
File,"ArrayIterator.java",74,15
File,"ArrayListIterator.java",59,15
File,"ArrayStack.java",71,17
File,"Bag.java",17,0
File,"BagUtils.java",49,11
File,"BeanMap.java",393,85
File,"BidiMap.java",8,0
File,"BinaryHeap.java",235,57
File,"BlockingBuffer.java",50,10
File,"BooleanComparator.java",43,14
File,"BoundedCollection.java",6,0
File,"BoundedFifoBuffer.java",144,36
File,"BoundedFifoBuffer.java",152,36
File,"BoundedMap.java",6,0
File,"Buffer.java",6,0
File,"BufferOverflowException.java",18,4
File,"BufferUnderflowException.java",19,4
File,"BufferUtils.java",30,7
File,"BulkTest.java",155,45
File,"CaseInsensitiveMap.java",39,9
File,"ChainedClosure.java",48,11
File,"ChainedTransformer.java",49,11
File,"CircularFifoBuffer.java",19,5
File,"CloneTransformer.java",16,3
File,"Closure.java",4,0
File,"ClosureTransformer.java",22,4
File,"ClosureUtils.java",81,19
File,"CollatingIterator.java",163,41
File,"CollectionUtils.java",331,93
File,"ComparableComparator.java",23,5
File,"ComparatorChain.java",126,35
File,"ComparatorUtils.java",76,22
File,"CompositeCollection.java",168,44
File,"CompositeMap.java",169,47
File,"CompositeSet.java",82,25
File,"ConstantFactory.java",21,4
File,"ConstantTransformer.java",21,4
File,"CursorableLinkedList.java",846,225
File,"CursorableLinkedList.java",192,49
File,"DefaultKeyValue.java",52,17
